"Species","ESV","Mean_Abundance"
"MOCH","ESV_097814",11.6923076923077
"MOCH","ESV_097297",11.6410256410256
"MOCH","ESV_001737",11.4871794871795
"MOCH","ESV_097105",11.4615384615385
"MOCH","ESV_096985",11.2307692307692
"MOCH","ESV_097010",11.1282051282051
"MOCH","ESV_097779",11.1025641025641
"MOCH","ESV_097569",11
"MOCH","ESV_097989",10.9230769230769
"MOCH","ESV_097325",10.8974358974359
"MOCH","ESV_097503",10.8717948717949
"MOCH","ESV_097924",10.7692307692308
"MOCH","ESV_097053",10.6410256410256
"MOCH","ESV_097613",10.5384615384615
"MOCH","ESV_096989",10.5384615384615
"MOCH","ESV_097328",10.4871794871795
"MOCH","ESV_097507",10.2307692307692
"MOCH","ESV_097068",10.2051282051282
"MOCH","ESV_097431",10
"MOCH","ESV_097609",9.97435897435897
"MOCH","ESV_097254",9.7948717948718
"MOCH","ESV_097595",9.76923076923077
"MOCH","ESV_097988",9.71794871794872
"MOCH","ESV_097164",9.69230769230769
"MOCH","ESV_097979",9.61538461538461
"MOCH","ESV_097546",9.51282051282051
"MOCH","ESV_004419",9.48717948717949
"MOCH","ESV_097530",9.43589743589744
"MOCH","ESV_097701",9.38461538461539
"MOCH","ESV_042094",9.35897435897436
"MOCH","ESV_046753",9.30769230769231
"MOCH","ESV_097719",9.30769230769231
"MOCH","ESV_097610",9.1025641025641
"MOCH","ESV_097509",9.1025641025641
"MOCH","ESV_097318",8.97435897435897
"MOCH","ESV_097907",8.92307692307692
"MOCH","ESV_097925",8.87179487179487
"MOCH","ESV_097515",8.82051282051282
"MOCH","ESV_097028",8.82051282051282
"MOCH","ESV_097876",8.71794871794872
"MOCH","ESV_097972",8.61538461538461
"MOCH","ESV_097022",8.58974358974359
"MOCH","ESV_097251",8.58974358974359
"MOCH","ESV_097498",8.51282051282051
"MOCH","ESV_097324",8.48717948717949
"MOCH","ESV_097905",8.46153846153846
"MOCH","ESV_097857",8.46153846153846
"MOCH","ESV_097733",8.35897435897436
"MOCH","ESV_097555",8.25641025641026
"MOCH","ESV_097759",8.15384615384615
"MOCH","ESV_097104",7.97435897435897
"MOCH","ESV_042056",7.94871794871795
"MOCH","ESV_097002",7.82051282051282
"MOCH","ESV_097549",7.79487179487179
"MOCH","ESV_097054",7.79487179487179
"MOCH","ESV_097601",7.64102564102564
