Species,USGS.Number,Band.Colors,Year,Date,Time.Trapped,Time.Bled,Recap,Site,Location,GPS.S,GPS.E,Elevation.(m),Bander,Sex,How.Sex,Age,How.Age,Release,Bird+Bag.(g),bag.(g),Bird.(g),Wing.(mm),Tarsus.(mm),Tail.(mm),Culmen.(mm),Culmen Depth.(mm),Culmen Width.(mm),Bill+Head.(mm),Hemo,Plasma,Blood,Fecal,Feather,Nest,Nest.Stage,Captured.with,,,,,,,,,,,
BCCH,2830-32009,GYY,2020,26-May,6:37,6:47,N,BLD,Marty A,-,-,-,KCG,F,BP,ASY,Rec,Y,31,20,11,65,17.2,65,7.5,4.8,5.4,27.4,N,N,Y,N,N,398-2020,chicks,BWW,-,,,,,,,,,,
BCCH,2830-32016,YAO,2020,27-May,9:40,9:47,N,BLD,Watershed School,-,-,-,KCG,M,CP,AHY,Rec,Y,34,23,11,66,17.1,64,7.5,5.1,5.7,27.4,N,N,Y,N,N,388-2020,chicks,BLW,-,,,,,,,,,,
BCCH,2830-32015,BLW,2020,27-May,9:15,9:24,N,BLD,Watershed School,-,-,-,KCG,F,BP,ASY,Rec,Y,35,23,12,67,17.3,66,7.3,5,5.2,26.9,N,N,Y,N,N,388-2020,chicks,YAO,-,,,,,,,,,,
BCCH,2830-32013,PSO,2020,27-May,8:10,8:20,N,BLD,Cynthia,-,-,-,KCG,M,CP,ASY,Rec,Y,34,23,11,71,17.4,65,7.5,4.4,5.5,27.4,N,N,Y,N,N,347-2020,chicks,YAB,-,,,,,,,,,,
BCCH,2830-32014,YAB,2020,27-May,8:34,8:42,N,BLD,Cynthia,-,-,-,KCG,F,BP,ASY,Rec,Y,35,23,12,66,17.2,66,7.4,4.2,5.7,28.1,N,N,Y,N,N,347-2020,chicks,PSO,-,,,,,,,,,,
BCCH,2830-32012,BWW,2020,27-May,7:40,7:48,N,BLD,Marty A,-,-,-,KCG,M,CP,AHY,Rec,Y,35,23,12,66,17.1,66,7.5,4.8,6.3,27.5,N,N,Y,N,N,398-2020,chicks,GYY,-,,,,,,,,,,
BCCH,2830-32076,GBG,2020,2-Jun,13:20,13:30,N,BLD,Stacy W.,-,-,-,KCG,F,BP,AHY,Rec,Y,33,22,11,62,17.1,60,7.3,4.3,4.5,27.3,N,N,Y,N,N,409-2020,chicks,YPW,,,,,,,,,,,
BCCH,2830-32075,YPW,2020,2-Jun,12:35,12:40,N,BLD,Stacy W.,-,-,-,KCG,M,CP,AHY,Rec,Y,34,22,12,62,17.8,65,7.6,4.3,5.4,27.6,N,N,Y,N,N,409-2020,chicks,GBG,,,,,,,,,,,
BCCH,2830-32078,YOY,2020,3-Jun,9:40,NA,N,BLD,David K.,-,-,-,KCG,F,BP,ASY,Rec,Y,34,23,11,63,17.1,61,7.5,4.5,4.7,26.1,N,N,Y,N,N,269-2020,chicks,AGG,,,,,,,,,,,
BCCH,2830-32077,AGG,2020,3-Jun,9:41,9:47,N,BLD,David K.,-,-,-,KCG,M,CP,AHY,Rec,Y,34,23,11,68,17.2,66,7.9,4.5,4.4,27.4,N,N,Y,N,N,269-2020,chicks,YOY,,,,,,,,,,,
BCCH,2830-32090,LGL,2020,4-Jun,9:35,9:45,N,BLD,Erin H.,-,-,-,KCG,M,CP,AHY,Rec,Y,35,23,12,66,17.8,65,8,4.9,5.3,27.4,N,N,Y,N,N,320-2020,chicks,PWP,,,,,,,,,,,
BCCH,2830-32091,PWP,2020,4-Jun,10:09,10:15,N,BLD,Erin H.,-,-,-,KCG,F,BP,ASY,Rec,Y,34,22,12,67,18.3,63,7.7,4.4,4.4,27.4,N,N,Y,N,N,320-2020,chicks,LGL,,,,,,,,,,,
BCCH,2900-40605,GBW,2020,8-Jun,11:34,11:40,N,SGR,Andrew McAdam,-,-,-,ANT,F,BP,-,-,Y,27,16.5,10.5,63,18.5,68,7.8,3.8,4.4,27.5,9.8/17.4,Y,Y,N,N,408-2020,10 day old nestlings,-,Single parent,,,,,,,,,,
BCCH,2900-40631,WBG,2020,13-Jun,8:39,8:45,N,BLD,Deb Hopkins,-,-,-,ANT,M,CP,-,-,Y,31,17.5,13.5,65,18.7,70,7.2,4.1,4.3,27.8,N,N,Y,N,N,220-2020,12 day old nestlings,BYP,,,,,,,,,,,
BCCH,2900-40632,BYP,2020,13-Jun,9:15,9:21,N,BLD,Deb Hopkins,-,-,-,ANT,F,BP,-,-,Y,29,18,11,61,18.2,66,,4.2,4.4,27.2,N,N,Y,N,N,220-2020,12 day old nestlings,,,,,,,,,,,,
BCCH,2900-40641,WWG,2020,14-Jun,9:02,9:06,N,BLD,Dharma's Garden,-,-,-,ANT,F,BP,-,-,Y,27.5,17.5,10,61,17,65,7.2,4.1,4.7,26.5,N,N,Y,N,N,285-2020,12 day old nestlings,YPA,,,,,,,,,,,
BCCH,2900-40640,YPA,2020,14-Jun,8:38,8:42,N,BLD,Dharma's Garden,-,-,-,ANT,M,CP,-,-,Y,28.5,17,11.5,65,17.4,69,8.4,4.5,4.4,29.1,N,N,Y,N,N,285-2020,12 day old nestlings,WWG,,,,,,,,,,,
BCCH,2900-40650,GBV,2020,15-Jun,10:10,10:15,N,BLD,Kathryn's,-,-,-,ANT,F,BP,-,-,Y,29.5,17.5,12,63,18.4,65,7.7,4.2,4.6,28.2,N,N,Y,N,N,330-2020,12 day old nestlings,ROY,Color bands not on band combo sheet,,,,,,,,,,
BCCH,2830-31884,ROY,2020,15-Jun,10:20,10:22,N,BLD,Kathryn's,-,-,-,ANT,M,CP,ASY,RECAP,Y,30,17.5,12.5,-,,,,,,,,,Y,N,N,330-2020,12 day old nestlings,GBV,,,,,,,,,,,
BCCH,2830-32004,BGW,2021,29-May,605,617,N,BLD,BLD-326,-,-,-,ANT,F,BP,ASY,recap,Y,28.5,17.5,11,64,-,,,,,,Y,N,N,N,N,BLD-326,before D12 nestlings,YLA,,,,,,,,,,,
BCCH,2130-17447,AGA,2021,29-May,729,733,N,BLD,BLD-276 - Vanessa,-,-,-,ANT,F,BP,AHY,rec,Y,29,17.5,11.5,60,17.2,61,7.5,3.9,3.7,26.6,Y,N,N,N,N,BLD-276 - Vanessa,before D12 nestlings,YWO,,,,,,,,,,,
BCCH,2130-17448,ABV,2021,29-May,835,846,N,BLD,BLD-289,-,-,-,ANT,F,BP,ASY,rec,Y,30.5,17.5,13,62,18.2,62,8.3,4,4.2,27.3,Y,N,N,N,N,BLD-289,before D12 nestlings,WOG,,,,,,,,,,,
BCCH,2130-17449,YVW,2021,31-May,702,710,N,BLD,"BLD-351 (""green box"")",-,-,-,ANT,F,BP,AHY,rec,Y,28.5,17.5,11,62,18.2,63,8.5,4.2,4.1,28.3,Y,N,N,N,N,"BLD-351 (""green box"")",before D12 nestlings,-,,,,,,,,,,,
BCCH,2130-17450,ABW,2021,2-Jun,724,729,N,BLD,BLD-256 - Anie R.,-,-,-,ANT,F,BP,AHY,rec,Y,28.5,18.5,10,65,18.8,63,7.4,4.2,4.4,26.4,Y,N,N,N,N,BLD-256 - Anie R.,before D12 nestlings,-,,,,,,,,,,,
BCCH,2130-17451,YYG,2021,2-Jun,750,756,N,BLD,BLD-321,-,-,-,ANT,F,BP,AHY,rec,Y,28,18.5,9.5,63,17.7,61,7.5,4.1,4.4,28.9,Y,N,N,N,N,BLD-321,before D12 nestlings,OOW,,,,,,,,,,,
BCCH,2130-17452,OOW,2021,2-Jun,811,814,N,BLD,BLD-321,-,-,-,ANT,M,CP,AHY,rec,Y,30,18,12,69,17.1,65,7.7,4.7,4.4,28.1,Y,N,N,N,N,BLD-321,before D12 nestlings,YYG,,,,,,,,,,,
BCCH,2130-17453,YYY,2021,2-Jun,901,905,N,BLD,BLD-281 - Stephanie M,-,-,-,ANT,M,CP,AHY,rec,Y,29.5,17.5,12,67,17.8,66,7.8,4.8,4.6,27.3,Y,N,N,N,N,BLD-281 - Stephanie M,before D12 nestlings,VGB,,,,,,,,,,,
BCCH,2130-17454,VVY,2021,2-Jun,1022,1030,N,BLD,BLD-300,-,-,-,ANT,F,BP,AHY,bp,Y,28.5,18,10.5,63,18.1,64,7.5,4.2,4.8,27.2,Y,N,N,N,N,BLD-300,before D12 nestlings,-,,,,,,,,,,,
BCCH,2130-17455,YOB,2021,3-Jun,721,724,N,BLD,BLD-333,-,-,-,ANT,F,BP,AHY,rec,Y,30,17.5,12.5,62,18.2,62,8.2,4.4,4.8,28.2,Y,N,N,N,N,BLD-333,before D12 nestlings,VAW,,,,,,,,,,,
BCCH,2130-17456,GYV,2021,3-Jun,759,808,N,BLD,BLD-349 - Paul B,-,-,-,ANT,F,BP,AHY,rec,Y,29.5,18,11.5,62,18.8,64,8.2,4.3,4.4,28.1,Y,N,N,N,N,BLD-349 - Paul B,before D12 nestlings,YOA,,,,,,,,,,,
BCCH,2130-17457,YOA,2021,3-Jun,804,819,N,BLD,BLD-349 - Paul B,-,-,-,ANT,M,CP,AHY,rec,Y,29.5,17,12.5,68,19,65,7.5,4.2,4.1,27.6,Y,N,N,N,N,BLD-349 - Paul B,before D12 nestlings,GYV,,,,,,,,,,,
BCCH,2130-17458,YVB,2021,3-Jun,852,857,N,BLD,BLD-398 - Marty A,-,-,-,ANT,M,CP,AHY,rec,Y,28.5,18,10.5,69,18.2,67,7.7,4.2,4.4,27.8,Y,N,N,N,N,BLD-398 - Marty A,before D12 nestlings,GYY,,,,,,,,,,,
